rowname,Site,PFD-FR,PFD-R
POPTRI,PSPSFT,-270.42161,-411.33018
POPTRI.1,PSPSFT,-271.442753,-410.963492
POPTRI.2,PSPSFT,-215.392868,-350.197266
ALNRUB,PSPSFT,-107.970864,-200.166443
ALNRUB.1,PSPSFT,-182.562634,-294.905685
ALNRUB.2,PSPSFT,-146.500558,-246.605789
ALNRUB.3,PSPSFT,93.492897,69.832809
ALNRUB.4,PSPSFT,56.773689,21.880386
ALNRUB.5,PSPSFT,-11.919029,-83.473908
ACEMAC,PSPSFT,-108.713845,-206.692016
ACEMAC.1,PSPSFT,-100.189499,-201.914325
ACEMAC.2,PSPSFT,-116.903149,-207.342275
ACEMAC.3,PSPSFT,-102.737793,-172.279831
ACEMAC.4,PSPSFT,-103.997093,-173.093715
ACEMAC.5,PSPSFT,-107.809578,-172.291895
ALNRUB.6,PSPSFT,-83.279488,-145.304039
ALNRUB.7,PSPSFT,-168.889244,-253.82182
ALNRUB.8,PSPSFT,173.982613,186.9973
ALNRUB.9,PSPSFT,-173.102395,-293.822536
ALNRUB.10,PSPSFT,-168.433568,-286.735824
ALNRUB.11,PSPSFT,-178.171158,-293.448827
ALNRUB.12,PSPSFT,-75.288281,-139.922571
ALNRUB.13,PSPSFT,0.879554,-36.031478
ALNRUB.14,PSPSFT,24.743827,-5.620681
ALNRUB.15,PSPSFT,106.535087,95.218429
ALNRUB.16,PSPSFT,95.249336,79.991119
ALNRUB.17,PSPSFT,72.636909,44.450729
ACEMAC.6,PSPSFT,-192.275749,-308.979527
ACEMAC.7,PSPSFT,-190.822216,-308.766476
ACEMAC.8,PSPSFT,-190.559235,-308.139692
ACEMAC.9,PSPSFT,-76.561623,-152.834914
ACEMAC.10,PSPSFT,-53.155838,-139.638362
ACEMAC.11,PSPSFT,-72.390308,-152.897416
THUPLI,PSPSFT,-119.271359,-226.308366
THUPLI.1,PSPSFT,-116.013028,-223.759629
THUPLI.2,PSPSFT,-110.326706,-212.156248
THUPLI.3,PSPSFT,-192.841,-314.720522
THUPLI.4,PSPSFT,-190.734101,-314.155394
THUPLI.5,PSPSFT,-142.613716,-255.558083
ACEMAC.12,PSPSFT,-27.329491,-65.531235
ACEMAC.13,PSPSFT,-255.554886,-377.709677
ACEMAC.14,PSPSFT,-198.383141,-305.043648
ALNRUB.18,PSPSFT,-189.037289,-289.911625
ALNRUB.19,PSPSFT,-213.206959,-307.160352
ALNRUB.20,PSPSFT,-184.860081,-285.623713
ALNRUB.21,PSPSFT,-263.567124,-397.763577
ALNRUB.22,PSPSFT,-288.497807,-434.040918
ALNRUB.23,PSPSFT,-271.512452,-416.741692
THUPLI.6,PSPSFT,-88.433205,-191.067291
THUPLI.7,PSPSFT,-190.953774,-320.356605
THUPLI.8,PSPSFT,-233.691178,-386.435642
ACEGLA,PSPSFT,-87.32946,-163.5728
ACEGLA.1,PSPSFT,-121.213802,-215.805679
ACEGLA.2,PSPSFT,-117.815079,-213.391458
ACEMAC.15,PSPSFT,-166.066788,-271.237763
ACEMAC.16,PSPSFT,-163.613152,-270.966413
ACEMAC.17,PSPSFT,-157.996182,-265.00133
ACEMAC.18,PSPSFT,-6.006043,-58.446613
ACEMAC.19,PSPSFT,250.605415,283.958145
ACEMAC.20,PSPSFT,-16.437691,-60.110407
THUPLI.9,PSPSFT,-50.770485,-124.921281
THUPLI.10,PSPSFT,-42.123348,-115.059622
THUPLI.11,PSPSFT,-47.852089,-122.523009
THUPLI.12,PSPSFT,-199.317516,-319.804705
THUPLI.13,PSPSFT,-124.552788,-211.242867
THUPLI.14,PSPSFT,-209.967403,-323.767615
TSUHET,PSPSFT,-202.920486,-311.918152
TSUHET.1,PSPSFT,-189.587452,-300.097538
TSUHET.2,PSPSFT,-119.215645,-204.466156
ACEMAC.21,PSPSFT,18.613458,-5.294157
ACEMAC.22,PSPSFT,73.594459,51.948494
ACEMAC.23,PSPSFT,56.552192,16.430135
ACEMAC.24,PSPSFT,91.936333,79.846138
ACEMAC.25,PSPSFT,159.69426,169.48732
ACEMAC.26,PSPSFT,251.326584,293.482483
ALNRUB.24,PSPSFT,-110.459099,-180.233528
ALNRUB.25,PSPSFT,35.74102,13.878129
ALNRUB.26,PSPSFT,-78.199868,-133.629432
ALNRUB.27,PSPSFT,1.93227,-42.473591
ALNRUB.28,PSPSFT,-0.082386,-47.657232
ALNRUB.29,PSPSFT,13.083805,-33.366888
ACEGLA.3,PSPSFT,-314.928009,-470.142492
ACEGLA.4,PSPSFT,-325.609821,-488.011291
ACEGLA.5,PSPSFT,-334.102882,-489.999622