"","R1_MF1","R10_MF1","R11_MF1","R12_MF1","R13_MF1","R14_MF1","R15_MF1","R2_MF1","R3_MF1","R4_MF1","R5_MF1","R6_MF1","R7_MF1","R8_MF1","R9_MF1"
"LONSOF07",99.599419,99.398911,99.260002,99.289299,99.523232,99.790596,99.510384,99.701828,99.699844,99.538864,99.71508,99.57222,99.421471,99.1492,97.872856
"LONSOF07.1",99.418015,99.156609,99.055321,99.428802,99.400826,99.753944,99.302483,99.660698,99.656487,99.364868,99.536987,99.482353,99.375107,98.940628,97.202065
"LONSOF07.2",98.471001,97.737587,97.958839,98.563416,98.545128,99.582176,98.181023,99.099442,99.399307,98.49884,98.609886,98.744774,99.110718,97.886337,93.953995
"LONSOF08",99.602509,99.456947,99.251213,99.326271,99.552788,99.802765,99.51416,99.731819,99.71772,99.532791,99.712692,99.603897,99.44622,99.143204,97.834091
"LONSOF08.1",99.739151,99.406822,99.482666,98.889587,99.571999,99.850121,99.691422,99.620125,99.73484,99.755745,99.738434,99.541893,99.549713,99.544327,99.097382
"LONSOF08.2",99.676987,99.275314,99.475945,98.742889,99.503769,99.859306,99.624702,99.553795,99.730034,99.74617,99.649498,99.470505,99.572563,99.651863,99.42514
"LONSOF09",99.333405,99.098694,98.963028,99.449348,99.345619,99.753258,99.190735,99.646896,99.661301,99.284111,99.457802,99.460602,99.353523,98.809044,96.803123
"LONSOF09.1",98.367577,97.509155,97.875938,98.412613,98.43235,99.546387,98.056252,99.0019,99.336205,98.431694,98.511047,98.637291,99.094742,97.806465,93.632072
"LONSOF09.2",98.196037,97.275452,97.681747,98.206375,98.272202,99.523712,97.844841,98.895111,99.303566,98.275726,98.345482,98.508408,99.059402,97.620651,93.055939
"LONSOF1",99.435211,98.924789,99.361732,98.337578,99.275383,99.866074,99.30352,99.378899,99.723473,99.560371,99.394943,99.282982,99.602272,99.796188,99.538033
"LONSOF1.1",99.612938,99.234612,99.454361,98.706459,99.386047,99.814339,99.435188,99.497681,99.712791,99.621048,99.597412,99.433372,99.504097,99.673088,99.698044
"LONSOF1.2",99.33477,98.859665,99.259933,98.283882,99.15168,99.85006,99.108566,99.312462,99.734268,99.429237,99.301048,99.234474,99.581001,99.644981,98.916824
"LONSOF10",99.554131,99.263245,99.192589,99.355995,99.478889,99.763237,99.473152,99.675926,99.663528,99.489418,99.659775,99.519608,99.413445,99.134377,97.794861
"LONSOF10.1",99.588783,99.364372,99.264389,99.19651,99.486328,99.780334,99.478722,99.665268,99.676979,99.53257,99.716339,99.537483,99.363884,99.09288,97.746819
"LONSOF10.2",99.699974,99.354271,99.427681,98.826294,99.499573,99.815804,99.634895,99.579506,99.682053,99.697868,99.72789,99.487816,99.440659,99.404846,98.756332
"LONSOF11",99.46212,99.243088,99.121559,99.345795,99.426857,99.760284,99.330521,99.668358,99.662529,99.411659,99.596542,99.511681,99.346275,98.941109,97.245277
"LONSOF11.1",99.701172,99.365067,99.410324,98.974648,99.487511,99.7911,99.589508,99.601791,99.68425,99.648254,99.762939,99.506584,99.412582,99.368813,98.628891
"LONSOF11.2",99.670395,99.394691,99.344307,99.025925,99.497948,99.790207,99.583191,99.625595,99.675339,99.616386,99.764893,99.519897,99.391541,99.262932,98.305733
"LONSOF17",99.614319,99.133423,99.406448,98.549507,99.395424,99.813797,99.550171,99.466217,99.647583,99.683815,99.583916,99.361526,99.45974,99.557899,99.255989
"LONSOF17.1",99.081482,98.645477,98.682823,99.255547,99.094902,99.670944,98.893616,99.466263,99.5326,99.058304,99.22934,99.221527,99.187569,98.490738,95.897537
"LONSOF17.2",98.819229,98.198387,98.364693,98.973518,98.846382,99.608818,98.605911,99.290718,99.437737,98.821602,98.966263,98.988472,99.123993,98.245056,95.120636
"LONSOF18",98.999229,98.576385,98.5942,99.234535,99.034111,99.66803,98.782219,99.440758,99.533127,98.982399,99.1548,99.192802,99.164276,98.370903,95.534462
"LONSOF18.1",99.634338,99.413109,99.310715,99.039886,99.494225,99.788406,99.540215,99.635841,99.663467,99.583443,99.752968,99.519012,99.348747,99.133018,97.933739
"LONSOF18.2",99.44442,99.269104,99.098854,99.322617,99.411194,99.760551,99.299423,99.663971,99.654091,99.390694,99.592361,99.50631,99.29705,98.847565,97.019371
"PICGLA01",99.673866,99.271355,99.451347,98.72374,99.4664,99.828293,99.600952,99.536522,99.698074,99.712509,99.660561,99.455612,99.498077,99.572784,99.272301
"PICGLA01.1",98.589348,98.08815,98.127945,98.826553,98.682617,99.629997,98.271812,99.230759,99.504509,98.608734,98.752037,98.921448,99.107445,97.931808,94.203087
"PICGLA01.2",98.499458,97.966232,98.042946,98.74131,98.601097,99.627281,98.153481,99.176437,99.502205,98.53289,98.668121,98.870407,99.118225,97.846794,93.85569
"PICGLA03",97.413902,96.130814,96.772972,97.138786,97.523445,99.395805,96.887627,98.379906,99.11116,97.575005,97.59742,97.842461,98.833572,96.757095,90.439674
"PICGLA03.1",99.653343,99.476372,99.305916,99.260254,99.565781,99.807777,99.584274,99.712105,99.716644,99.587265,99.756004,99.595619,99.457855,99.234657,98.128403
"PICGLA03.2",99.710175,99.495644,99.390633,99.136482,99.578255,99.821533,99.641846,99.688225,99.728035,99.660461,99.792656,99.590561,99.479584,99.335556,98.443352
"PICGLA04",98.883987,98.382774,98.444626,99.102066,98.937447,99.662613,98.659927,99.374176,99.523979,98.874405,99.014244,99.09861,99.217178,98.308563,95.246811
"PICGLA04.1",99.703751,99.525383,99.370987,99.216179,99.605896,99.820023,99.630493,99.726913,99.740829,99.640923,99.792961,99.630478,99.501534,99.315681,98.353867
"PICGLA04.2",99.019325,98.555656,98.616684,99.215775,99.057205,99.67865,98.824181,99.444084,99.550598,99.010246,99.147301,99.195351,99.269066,98.486664,95.767914
"PICGLA05",97.052505,95.311203,96.338707,96.50621,97.126129,99.248047,96.524559,98.043442,98.82653,97.271744,97.221992,97.408768,98.729622,96.464691,89.446159
"PICGLA05.1",99.040977,98.50296,98.651123,99.184402,99.06147,99.663078,98.865906,99.42646,99.517937,99.040245,99.161316,99.175507,99.281204,98.552589,95.933281
"PICGLA05.2",98.741333,98.034348,98.308853,98.852905,98.776939,99.600807,98.507462,99.229019,99.416321,98.768753,98.872551,98.925575,99.171837,98.208237,94.895424
"PICGLA06",98.68737,97.913887,98.231255,98.760056,98.719795,99.57798,98.454155,99.18338,99.374451,98.713844,98.813408,98.855438,99.1399,98.143967,94.709129
"PICGLA06.1",99.291473,98.877594,98.919304,99.37925,99.28492,99.710098,99.163429,99.574585,99.590141,99.259071,99.399788,99.364426,99.358871,98.839241,96.822365
"PICGLA06.2",99.607048,99.343636,99.268204,99.293152,99.514511,99.777832,99.518822,99.688576,99.685204,99.545158,99.71402,99.553978,99.429535,99.188667,97.968521
"PICGLA08",99.097771,98.705223,98.724449,99.282509,99.122314,99.691727,98.903542,99.492134,99.573479,99.088745,99.243156,99.264893,99.246468,98.539574,95.99295
"PICGLA08.1",97.960564,96.826698,97.415001,97.852844,98.030663,99.444618,97.568275,98.705635,99.167084,98.077591,98.125656,98.252487,98.909088,97.334679,92.237259
"PICGLA08.2",98.987648,98.570747,98.594391,99.239227,99.029648,99.676704,98.767715,99.440887,99.550568,98.981247,99.140396,99.195602,99.20208,98.392708,95.547707
"PICGLA10",99.466171,98.942444,99.338516,98.363281,99.257744,99.836365,99.343605,99.365906,99.680489,99.573708,99.421104,99.265556,99.522278,99.745758,99.623833
"PICGLA10.1",99.476593,99.242134,99.123878,99.263359,99.406807,99.748726,99.353546,99.638672,99.633621,99.414032,99.621391,99.484962,99.294518,98.926949,97.282913
"PICGLA10.2",99.684708,99.35878,99.388298,98.915779,99.473473,99.792747,99.582756,99.588737,99.674332,99.639,99.753159,99.489349,99.384392,99.318428,98.506798
"PICGLA13",99.625214,99.182495,99.406006,98.622925,99.3918,99.817162,99.543251,99.476357,99.667419,99.671051,99.609383,99.376854,99.43335,99.524887,99.175453
"PICGLA13.1",99.276741,98.738708,98.882774,99.266014,99.221985,99.658943,99.150528,99.501541,99.495575,99.22757,99.399178,99.267868,99.236275,98.785362,96.766609
"PICGLA13.2",99.451843,98.833023,99.29451,98.278633,99.248619,99.816093,99.393265,99.334663,99.612419,99.59285,99.394463,99.20858,99.517899,99.747284,99.636925
"TSUHET01",99.324318,98.759918,99.263641,98.175285,99.170784,99.860535,99.157158,99.302483,99.704803,99.461739,99.281303,99.199142,99.627769,99.756378,99.13324
"TSUHET01.1",99.418976,98.848213,99.326515,98.260117,99.251343,99.849236,99.307571,99.347931,99.676529,99.556564,99.369072,99.23616,99.582054,99.799271,99.558456
"TSUHET01.2",99.290466,98.70697,99.229103,98.140495,99.145226,99.865334,99.137238,99.28334,99.70443,99.437569,99.248077,99.169235,99.644737,99.758781,99.077835
"TSUHET03.3",99.650223,99.426666,99.325684,99.068214,99.511299,99.794159,99.562599,99.650177,99.680069,99.596992,99.761719,99.539536,99.385445,99.195229,98.092384
"TSUHET03.4",99.299171,99.086609,98.951027,99.378891,99.3032,99.738426,99.124977,99.619255,99.632843,99.260323,99.454506,99.440315,99.262627,98.691406,96.538139
"TSUHET03.5",99.201805,98.847267,98.839081,99.336868,99.205643,99.704437,99.022141,99.542397,99.582314,99.172485,99.348206,99.332047,99.234413,98.608597,96.251625
