"","R1_SF1","R10_SF1","R11_SF1","R12_SF1","R13_SF1","R14_SF1","R15_SF1","R2_SF1","R3_SF1","R4_SF1","R5_SF1","R6_SF1","R7_SF1","R8_SF1","R9_SF1"
"PICGLA02.6",99.283035,98.486,99.114883,97.885178,99.063904,99.760086,99.23288,99.177162,99.489449,99.454338,99.202194,98.987366,99.447762,99.745049,99.528923
"PICGLA02.7",99.485985,98.827377,99.288399,98.206863,99.2472,99.769547,99.466156,99.325195,99.529831,99.609863,99.426102,99.167542,99.382469,99.518158,99.206017
"PICGLA02.8",99.520805,98.993706,99.329025,98.355927,99.246521,99.791672,99.388878,99.360695,99.608101,99.568184,99.489342,99.233185,99.337959,99.494843,99.190155
"PINCON05.3",99.648293,99.336349,99.329178,98.780235,99.476547,99.778168,99.586914,99.568565,99.589157,99.622711,99.722832,99.433472,99.303055,99.089767,97.891998
"PINCON05.4",99.515266,98.886642,99.316879,98.283134,99.297249,99.78643,99.498222,99.361496,99.556107,99.639847,99.457611,99.209511,99.422203,99.54361,99.239548
"PINCON05.5",99.661034,99.265587,99.380997,98.680099,99.45549,99.791405,99.616203,99.530655,99.609818,99.676826,99.685539,99.403381,99.350769,99.238647,98.316696
"PINCON1",99.534966,98.89782,99.321365,98.261551,99.305634,99.772385,99.513817,99.365044,99.535866,99.646782,99.478676,99.213127,99.390419,99.48938,99.118164
"PINCON1.1",99.565659,98.925308,99.31498,98.28653,99.329185,99.748299,99.575989,99.379631,99.490868,99.657372,99.52066,99.215836,99.324059,99.337891,98.711365
"PINCON1.2",99.59977,98.984413,99.315231,98.347755,99.375801,99.721619,99.620232,99.416039,99.447327,99.656517,99.575882,99.243683,99.2817,99.207466,98.357162
"PINCON2",98.169502,97.519691,97.749496,98.553261,98.281555,99.564529,97.70459,98.980324,99.394249,98.244583,98.402298,98.664856,98.834343,97.234329,92.162155
"PINCON2.1",99.641823,99.171112,99.376266,98.563225,99.433151,99.79644,99.628769,99.490631,99.591263,99.689888,99.634247,99.348953,99.361778,99.28949,98.47937
"PINCON2.2",99.513206,98.845963,99.307594,98.262489,99.302826,99.773392,99.527809,99.353783,99.522675,99.644821,99.451385,99.189804,99.415115,99.518204,99.173225
"PINCON3",99.433708,98.688972,99.237633,98.121223,99.224922,99.760231,99.443535,99.287712,99.490685,99.587852,99.35878,99.108879,99.4384,99.622467,99.445839
"PINCON3.1",99.61161,99.041664,99.360817,98.433044,99.394798,99.762505,99.613136,99.440842,99.526863,99.684288,99.577873,99.291748,99.370094,99.36129,98.732811
"PINCON3.2",99.640968,99.161331,99.387825,98.555573,99.42868,99.792099,99.619957,99.487366,99.593086,99.69474,99.626122,99.354172,99.384331,99.347801,98.646263
"PINCON4",99.59745,98.108551,99.063942,98.374428,99.381752,99.053368,98.572227,99.297951,98.357536,98.551277,99.578484,99.005661,98.544533,98.523613,97.87706
"PINCON6",99.390846,99.580208,99.065659,99.178345,99.467087,99.657005,99.134941,99.725891,99.417938,99.272804,99.601891,99.567001,99.103081,98.43335,96.102966
"PINCON6.1",99.517883,99.442711,99.201263,99.012344,99.454597,99.735435,99.356262,99.643791,99.552467,99.455009,99.695274,99.503059,99.197418,98.750359,96.927132
"PINCON6.2",99.319519,98.445518,99.127174,97.870872,99.098221,99.7192,99.327423,99.176788,99.411453,99.499702,99.228363,98.96682,99.407768,99.668411,99.535416
"TWOSTO01",99.689484,99.329071,99.398407,98.795746,99.504005,99.813629,99.660194,99.569923,99.653191,99.699196,99.711609,99.460342,99.427811,99.351891,98.596687
"TWOSTO01.1",99.560814,99.428825,99.227814,99.222496,99.496246,99.790634,99.44281,99.69059,99.682678,99.508575,99.699486,99.558907,99.353027,99.003647,97.47805
"TWOSTO01.2",99.667564,99.237457,99.407379,98.695168,99.473389,99.816902,99.65181,99.528824,99.646942,99.716156,99.656837,99.417999,99.460518,99.452522,98.893707
"TWOSTO02",99.603432,99.450218,99.274559,99.13765,99.510567,99.794678,99.495667,99.674728,99.675636,99.54882,99.736282,99.551056,99.351151,99.048492,97.648407
"TWOSTO02.1",99.442238,99.469673,99.108292,99.078819,99.426872,99.744186,99.255501,99.673943,99.553818,99.372437,99.638573,99.518372,99.17588,98.638306,96.567719
"TWOSTO02.2",99.386086,99.446091,99.054985,99.158508,99.396896,99.729836,99.168121,99.68248,99.552795,99.314445,99.588448,99.532135,99.15155,98.540436,96.281662
"TWOSTO14",99.397133,99.429657,99.069458,99.186882,99.400459,99.72905,99.187286,99.683815,99.572266,99.334038,99.59436,99.542213,99.185638,98.601677,96.433037
"TWOSTO14.1",99.567245,98.904472,99.291458,98.287361,99.342308,99.737061,99.608841,99.377983,99.460632,99.654091,99.519508,99.202827,99.319809,99.318451,98.666695
"TWOSTO14.2",99.578522,98.975273,99.323509,98.320694,99.345192,99.765129,99.577515,99.398827,99.519867,99.661911,99.538673,99.237144,99.329781,99.333473,98.684959
"TWOSTO23",99.380264,98.517838,99.174416,97.915001,99.15123,99.708649,99.391136,99.210777,99.398315,99.54924,99.289703,99.01004,99.38308,99.603783,99.449524
"TWOSTO23.1",99.379593,98.593231,99.200775,97.979584,99.148834,99.742683,99.350861,99.2295,99.46843,99.540413,99.299721,99.051704,99.408028,99.641235,99.512772
"TWOSTO23.2",99.496132,98.702606,99.254517,98.130165,99.270218,99.695602,99.557579,99.301308,99.388908,99.625542,99.421684,99.109787,99.336838,99.418457,98.984406
"TWOSTO24",99.334038,98.459511,99.134369,97.868423,99.107811,99.716888,99.329308,99.183571,99.408501,99.510857,99.242264,98.980499,99.408371,99.673103,99.545433
"TWOSTO24.1",99.577415,98.907951,99.311516,98.290276,99.353142,99.72036,99.615906,99.384903,99.441956,99.659348,99.532539,99.211121,99.307793,99.283249,98.576508
"TWOSTO24.2",99.641068,99.241524,99.331749,98.634956,99.47567,99.733192,99.589211,99.535751,99.493416,99.621727,99.70298,99.383255,99.260666,99.026367,97.781769
"TWOSTO30",97.805305,96.903969,97.252731,97.967796,97.925781,99.472481,97.286484,98.722435,99.258476,97.902634,98.034897,98.299759,98.711159,96.828239,90.94429
"TWOSTO30.1",99.63858,99.41732,99.337105,98.914192,99.493469,99.791405,99.52832,99.618988,99.640923,99.601173,99.75338,99.49498,99.3041,99.030067,97.665848
"TWOSTO30.2",99.351204,98.663689,99.206146,98.051285,99.146416,99.807899,99.277092,99.254395,99.581184,99.502831,99.2845,99.093216,99.48436,99.743912,99.576614
"TWOSTO31",99.307953,98.639038,99.177971,98.02462,99.109589,99.823334,99.208549,99.235619,99.610367,99.459145,99.245316,99.077515,99.504608,99.775269,99.488441
"TWOSTO31.1",99.470627,98.853676,99.287811,98.233337,99.253311,99.811256,99.432205,99.339195,99.596916,99.598831,99.410965,99.18679,99.44368,99.611183,99.40036
"TWOSTO31.2",99.200706,98.454262,99.070259,97.859894,99.006912,99.808327,99.084869,99.15329,99.573799,99.374939,99.134171,98.979675,99.52858,99.792191,99.173286
"TWOSTO39",99.52066,98.895508,99.3228,98.280922,99.304482,99.783821,99.489349,99.371681,99.557602,99.639336,99.459053,99.222404,99.442665,99.578972,99.329277
"TWOSTO39.1",99.568748,99.429314,99.260841,99.005081,99.46917,99.781883,99.428436,99.64135,99.629242,99.521996,99.722397,99.506859,99.259132,98.885551,97.233047
"TWOSTO39.2",99.654709,99.23764,99.375641,98.634857,99.448837,99.793282,99.620064,99.519875,99.599747,99.679558,99.671417,99.383659,99.34774,99.239479,98.322853
"TWOSTO42",99.564903,99.016151,99.366104,98.4226,99.349747,99.804451,99.537849,99.417542,99.605042,99.666733,99.519958,99.282089,99.434784,99.518417,99.140259
"TWOSTO42.1",99.352943,99.225365,99.022247,99.283707,99.337982,99.744057,99.150543,99.637344,99.619621,99.305588,99.531761,99.47525,99.189552,98.594086,96.321991
"TWOSTO42.2",99.094307,98.838737,98.715988,99.337936,99.121002,99.696693,98.856178,99.523781,99.573532,99.059776,99.275002,99.319786,99.12117,98.324661,95.495888
"TWOSTO47",99.668137,99.264107,99.389839,98.667458,99.468117,99.791031,99.62487,99.534821,99.603935,99.682701,99.689392,99.407303,99.357895,99.243408,98.332436
"TWOSTO47.1",99.661774,99.269424,99.365562,98.679375,99.473557,99.783295,99.627914,99.538864,99.583389,99.666946,99.694557,99.403107,99.335892,99.18483,98.172447
"TWOSTO47.2",99.593773,99.050629,99.376678,98.442871,99.378059,99.792183,99.569832,99.438942,99.58876,99.681992,99.5532,99.304192,99.419518,99.464035,98.990623
"TWOSTO50",99.540901,99.372849,99.201874,99.055931,99.435951,99.766357,99.411728,99.628098,99.621193,99.479652,99.6968,99.487526,99.245331,98.877953,97.216713
"TWOSTO50.1",99.356842,99.176399,99.015564,99.290977,99.328537,99.742233,99.173813,99.623749,99.621017,99.309631,99.527275,99.453781,99.203896,98.644775,96.448433
"TWOSTO50.2",99.665443,99.325432,99.369408,98.768341,99.466911,99.786034,99.595581,99.56057,99.620834,99.652122,99.723259,99.443497,99.344147,99.206726,98.213676
"TWOSTO60",99.543152,99.333267,99.214622,98.697067,99.442215,99.676987,99.402512,99.575462,99.415535,99.47039,99.712891,99.412422,99.127754,98.717949,96.980446
"TWOSTO60.1",99.609474,99.069748,99.360405,98.413811,99.369102,99.749535,99.571678,99.433159,99.521675,99.655579,99.595459,99.286812,99.294258,99.244026,98.445366
"TWOSTO60.2",99.549194,99.360207,99.247841,99.051491,99.437752,99.771843,99.398064,99.623482,99.633812,99.496803,99.705269,99.488815,99.233185,98.860619,97.163719
