Site,Plot,Sub_plot,ht 2022,ht 2023,Dist.consp,Germinant_I,Count,Tooth Pick,Notes
JCMH,1,A,62,50,86,ABILAS,1,R Spade,
JCMH,1,B,,,,,0,,
JCMH,1,C,,dead,92,ABILAS,1,Y Club,
JCMH,1,C,44,MAD,110.5,ABILAS,1,W Heart,
JCMH,1,D,NA,,,,0,,
JCMH,1,E,NA,,110,ABILAS,1,B Heart,
JCMH,1,F,NA,,,,0,,
JCMH,2,A,NA,,95,ABILAS,1,R Club ,Tag dislodged
JCMH,2,B,NA,,,,0,,
JCMH,2,C,NA,,,,0,,Hidden in ferns; 2nd tag missing
JCMH,2,D,56,56,10,ABILAS,1,O Spade,
JCMH,2,D,46,49,100,ABILAS,1,Red Diamond,
JCMH,2,E,51,63,26,ABILAS,1,B Heart ,
JCMH,2,E,NA,,35,ABILAS,1,Red Heart,
JCMH,2,E,42,43,25,ABILAS,1,Blue Heart,
JCMH,2,F,NA,,30,ABILAS,1,O Club,orange club
JCMH,2,F,,,32,ABILAS,1,O Heart ,orange heart 
JCMH,2,F,49,44,48,ABILAS,1,R Heart,red heart
JCMH,2,F,,,,,0,B Spade,blue diamond
JCMH,2,F,39,44,,,0,Y Spade,yellow diamond
JCMH,2,F,48,44,33,ABILAS,1,W Club ,white club 
JCMH,3,A,,,201,ABILAS,1,,
JCMH,3,B,,,180,ABILAS,1,,
JCMH,3,C,,,,,0,G Heart ,
JCMH,3,D,,,73,ABILAS,1,Y Club ,
JCMH,3,D,53,55,63,ABILAS,1,B Heart ,
JCMH,3,E,,,,,0,,
JCMH,3,F,MAD,dead,56,ABILAS,1,W Club ,
JCMH,4,A,,,,,0,R Spade,
JCMH,4,B,,,99,ABILAS,1,,
JCMH,4,C,,,,,0,W Heart,
JCMH,4,D,,,,,0,,
JCMH,4,E,26,22,314,ABILAS,1,Y Club,
JCMH,4,F,,,311,ABILAS,1,,
JCMH,5,A,,,298,ABILAS,1,,
JCMH,5,B,32,,175,ABILAS,1,B Spade,
JCMH,5,B,20,,170,ABILAS,1,R Club ,"Very small, might not be the same indiv"
JCMH,5,B,,,188,ABILAS,1,G Heart ,
JCMH,5,C,26,,455,ABILAS,1,Y Diamond,
JCMH,5,C,37,,143,ABILAS,1,W Club ,
JCMH,5,C,,,117,ABILAS,1,O Heart,
JCMH,5,D,56,,123,ABILAS,1,R Club ,Turning yellow
JCMH,5,D,,,125,PICHYB,1,B Spade,
JCMH,5,D,,,104,TSUHET,1,Y Heart,
JCMH,5,D,,,,,0,G Club,
JCMH,5,E,,,140,ABILAS,1,B Heart,
JCMH,5,E,,,152,ABILAS,1,Y Club,
JCMH,5,F,MAD,,158,ABILAS,1,,
JCMH,5,F,30,30,160,ABILAS,1,B Heart ,
JCMH,6,A,63,dead,156,ABILAS,1,Y Diamond,
JCMH,6,A,MAD,,,,0,O Heart,
JCMH,6,A,76,68,113,ABILAS,1,W Diamond,
JCMH,6,A,72,48,110,ABILAS,1,B Heart,
JCMH,6,A,161,64,920,PICHYB,1,R Diamond,3 green needles
JCMH,6,B,,,98,ABILAS,1,,
JCMH,6,C,,,122,ABILAS,1,Y Diamond ,
JCMH,6,C,,,90,ABILAS,1,R Spade,
JCMH,6,C,,,120,ABILAS,1,G Diamond,
JCMH,6,D,,,183,ABILAS,1,R Spade,
JCMH,6,D,,,205,ABILAS,1,B Heart,
JCMH,6,D,346,340,158,ABILAS,1,Y Diamond ,
JCMH,6,D,,183,166,ABILAS,1,W Spade,
JCMH,6,E,35,37,61,ABILAS,1,G Diamond ,partially brown
JCMH,6,E,,,90,ABILAS,1,B Club,
JCMH,6,E,,,83,ABILAS,1,R heart,
JCMH,6,E,49,,81,ABILAS,1,B Diamond ,
JCMH,6,E,42,38,151,TSUHET,0,G Spade,partially brown
JCMH,6,F,71,42,176,ABILAS,1,O diamond,
JCMH,7,A,,,163,ABILAS,1,W Diamond ,
JCMH,7,A,,,180,ABILAS,1,red club ,
JCMH,7,A,,,190,ABILAS,1,B Club ,
JCMH,7,B,,,,,0,,
JCMH,7,C,280,288,,,0,WD,
JCMH,7,C,306,300,,,0,BD,
JCMH,7,C,255,180,86,ABILAS,1,R heart,
JCMH,7,C,302,330,98,ABILAS,1,O Spade,
JCMH,7,D,,,150,ABILAS,1,,
JCMH,7,E,,,256,ABILAS,1,,
JCMH,7,F,341,,253,ABILAS,1,O Heart,
JCMH,7,F,376,,123,ABILAS,1,B Club,
JCMH,7,F,,,119,ABILAS,1,,
JCMH,8,A,7,,,,0,Y Diamond,Tag was moved
JCMH,8,A,34,,130,ABILAS,1,W Club ,Lots of debris 
JCMH,8,B,375,,116,ABILAS,1,Y Spade ,Replaced Y Spade
JCMH,8,C,55,,122,ABILAS,1,B Club,Tag was moved
JCMH,8,C,94,,213,ABILAS,1,W Club ,
JCMH,8,D,40,,86,ABILAS,1,R heart,Replaced toothpicks
JCMH,8,D,,,,,0,Y Spade,
JCMH,8,C,58,,139,ABILAS,1,,
JCMH,8,E,,,,,0,,
JCMH,8,F,37,,,,0,Y Club,
JCMH,8,F,765,,158,ABILAS,1,W Diamond,
JCMH,8,F,673,,60,ABILAS,1,O Spade,
JCMH,9,A,MAD,,103,ABILAS,1,B Heart ,
JCMH,9,A,,,36,ABILAS,1,W Spade,
JCMH,9,B,,,,,0,,
JCMH,9,C,135,,38,ABILAS,1,Y Heart,
JCMH,9,D,MAD,,56,ABILAS,1,,
JCMH,9,E,MAD,,101,ABILAS,1,,
JCMH,9,F,301,,69,ABILAS,1,O Heart,Tag moved; a lot of debris
JCMH,10,A,30,,58,ABILAS,1,G Diamond ,Looks sick
JCMH,10,B,110,,69,ABILAS,1,O Club,
JCMH,10,C,,,49,ABILAS,1,B Spade,
JCMH,10,D,,,137,ABILAS,1,,
JCMH,10,E,40,,134,ABILAS,1,Y Club,
JCMH,10,E,,,,,0,G Heart ,
JCMH,10,F,181,,,,0,O Spade,
JCMH,10,F,465,,411,PICHYB,1,O diamond,
JCMH,10,F,141,,193,ABILAS,1,B Diamond ,Very off 
JCMH,10,F,210,,108,ABILAS,1,W Diamond,
JCMH,10,F,122,,115,ABILAS,1,R Club ,
JCMH,10,F,376,,,,0,,
JCMH,11,A,41,,108,ABILAS,1,B Heart,
JCMH,11,A,MAD,,128,ABILAS,1,O diamond ,
JCMH,11,B,,,,,0,,
JCMH,11,C,,,87,ABILAS,1,,
JCMH,11,D,,,72,ABILAS,1,Y Spade,Tag dislodged
JCMH,11,D,,,62,ABILAS,1,G Club,
JCMH,11,E,691,,71,ABILAS,1,W Heart ,Looking dead
JCMH,11,E,480,,89,ABILAS,1,O Heart ,
JCMH,11,F,,,83,ABILAS,1,,
JCMH,12,A,,,77,ABILAS,1,W Heart,
JCMH,12,B,285,,138,ABILAS,1,R heart ,
JCMH,12,C,,,114,ABILAS,1,,
JCMH,12,D,375,,152,ABILAS,1,G Diamond ,
JCMH,12,D,155,,330,ABILAS,1,Y Diamond,
JCMH,12,D,231,,,,0,O diamond,
JCMH,12,D,310,,,,0,Y Spade,
JCMH,12,D,305,,50,ABILAS,1,G Heart ,
JCMH,12,D,182,,73,ABILAS,1,R Diamond,
JCMH,12,D,271,,77,ABILAS,1,W Spade,
JCMH,12,E,,,84,ABILAS,1,B Diamond ,
JCMH,12,E,MAD,,69,ABILAS,1,O Spade,
JCMH,12,F,,,118,ABILAS,1,O diamond ,
JCMH,13,A,,,50,ABILAS,1,B Spade ,
JCMH,13,B,,,67,ABILAS,1,,
JCMH,13,C,,,232,ABILAS,1,,
JCMH,13,D,25,,239,ABILAS,1,W Spade,
JCMH,13,D,39,,245,ABILAS,1,R Club ,Yellowing
JCMH,13,D,37,,235,ABILAS,1,Y Diamond,Slightly yellow
JCMH,13,D,52,,236,ABILAS,1,B Club,
JCMH,13,E,dead,,247,ABILAS,1,R heart,
JCMH,13,F,,,255,ABILAS,1,W Club ,
JCMH,14,A,505,,180,PICHYB,1,R Diamond,
JCMH,14,A,483,,1183,PICHYB,1,W Heart,
JCMH,14,A,23,,,ABILAS,,R Heart,
JCMH,14,B,35,,254,ABILAS,1,B Club,
JCMH,14,B,,,225,ABILAS,1,R Club ,
JCMH,14,B,18,,245,ABILAS,1,G Spade,
JCMH,14,B,30,,257,ABILAS,1,W Spade ,Yellowing
JCMH,14,B,38,,253,ABILAS,1,G Heart ,Squished by rock
JCMH,14,B,34,,,,0,Y Heart,
JCMH,14,B,29,,,,0,O diamond,
JCMH,14,B,19,,93,ABILAS,1,G club,
JCMH,14,B,34,,15,ABILAS,1,Y Diamond,
JCMH,14,B,MAD,,,,,W Heart,
JCMH,14,B,,,,,,W Club ,
JCMH,14,B,,,,,,B Heart,
JCMH,14,B,MAD,,,,,G Diamond,
JCMH,14,B,27,,,,,O Spade,
JCMH,14,C,,,,,,,
JCMH,14,D,,,,,,,
JCMH,14,E,390,,,,,B Heart,
JCMH,14,F,,,,,,W Club ,
JCMH,15,A,dead,,,,,,
JCMH,15,B,55,,,,,G Diamond,
JCMH,15,C,,,,,,,Tag removed
JCMH,15,D,320,,173,ABILAS,,,
JCMH,15,E,,,,,,,
JCMH,15,F,49,,,,,B Diamond,
JCMH,15,F,134,,,,,R Heart,
JCMH,15,F,18,,,,,W Spade,
JCMH,16,A,,,,,,,
JCMH,16,B,,,,,,,
JCMH,16,C,,,,,,,
JCMH,16,D,467,,,,,Y Club,
JCMH,16,E,33,,,ABILAS,,R Club,
JCMH,16,E,22,,,TSUHET,,Y Diamond,"One green needle, rest dead"
JCMH,16,E,49,,151.5,ABILAS,1,,
JCMH,16,F,105,,,,,G Heart,Looks dead; only 1 live branch
JCMH,16,F,178,,,,,G Heart,Green spade
JCMH,16,F,137,,,,,O Heart,
JCMH,16,F,145,,,,,R Club,
JCMH,16,F,397,,,,,R Heart,Marked with read heart and corrected tag position
JCMH,16,F,360,,,,,W Heart,Marked with W Heart and tag corrected
JCMH,16,F,MAD,,,,,Y Diamond,
JCMH,16,F,319,,,,,W Heart,
JCMH,17,A,,,,,,,
JCMH,17,B,45,,,,,B Diamond,
JCMH,17,C,,,,,,,
JCMH,17,D,22,,,,,O Heart,
JCMH,17,D,39,,,,,B Spade,
JCMH,17,E,,,,,,NA,
JCMH,17,F,170,,,,,B Diamond,
JCMH,17,F,251,,,,,R Spade,
JCMH,17,F,14,,189,ABILAS,,,Looks a little yellow
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,W Heart,